feature_n,variable,value
20.0,rf,0.8951612903225806
20.0,rf,0.9032258064516129
20.0,rf,0.9112903225806451
20.0,rf,0.9032258064516129
20.0,rf,0.9274193548387096
20.0,rf,0.8790322580645161
20.0,rf,0.8790322580645161
20.0,rf,0.8870967741935484
20.0,rf,0.9112903225806451
20.0,rf,0.9274193548387096
20.0,rf,0.9112903225806451
20.0,rf,0.8709677419354839
20.0,rf,0.9112903225806451
20.0,rf,0.8870967741935484
20.0,rf,0.8870967741935484
20.0,rf,0.8870967741935484
20.0,rf,0.8790322580645161
20.0,rf,0.9354838709677419
20.0,rf,0.8951612903225806
20.0,rf,0.9112903225806451
20.0,rf,0.9032258064516129
20.0,rf,0.8870967741935484
20.0,rf,0.9274193548387096
20.0,rf,0.8951612903225806
20.0,rf,0.9112903225806451
20.0,rf,0.8951612903225806
20.0,rf,0.9032258064516129
20.0,rf,0.8951612903225806
20.0,rf,0.8790322580645161
20.0,rf,0.8870967741935484
20.0,rf,0.9274193548387096
20.0,rf,0.8709677419354839
20.0,rf,0.9354838709677419
20.0,rf,0.9032258064516129
20.0,rf,0.8709677419354839
20.0,rf,0.8870967741935484
20.0,rf,0.9193548387096774
20.0,rf,0.8951612903225806
20.0,rf,0.8870967741935484
20.0,rf,0.8951612903225806
20.0,rf,0.9112903225806451
20.0,rf,0.9112903225806451
20.0,rf,0.9032258064516129
20.0,rf,0.9274193548387096
20.0,rf,0.8870967741935484
20.0,rf,0.9112903225806451
20.0,rf,0.9354838709677419
20.0,rf,0.8870967741935484
20.0,rf,0.8790322580645161
20.0,rf,0.9112903225806451
20.0,rf,0.8870967741935484
10.0,rf,0.9032258064516129
10.0,rf,0.8629032258064516
10.0,rf,0.9032258064516129
10.0,rf,0.8790322580645161
10.0,rf,0.9032258064516129
10.0,rf,0.8870967741935484
10.0,rf,0.8951612903225806
10.0,rf,0.9032258064516129
10.0,rf,0.9193548387096774
10.0,rf,0.9193548387096774
10.0,rf,0.9354838709677419
10.0,rf,0.9193548387096774
10.0,rf,0.9274193548387096
10.0,rf,0.8870967741935484
10.0,rf,0.8870967741935484
10.0,rf,0.9354838709677419
10.0,rf,0.8951612903225806
10.0,rf,0.8790322580645161
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.9516129032258065
10.0,rf,0.9112903225806451
10.0,rf,0.9193548387096774
10.0,rf,0.8951612903225806
10.0,rf,0.9112903225806451
10.0,rf,0.9112903225806451
10.0,rf,0.9032258064516129
10.0,rf,0.8548387096774194
10.0,rf,0.8951612903225806
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.8870967741935484
10.0,rf,0.9193548387096774
10.0,rf,0.9516129032258065
10.0,rf,0.9112903225806451
10.0,rf,0.8951612903225806
10.0,rf,0.8870967741935484
10.0,rf,0.8870967741935484
10.0,rf,0.9354838709677419
10.0,rf,0.9193548387096774
10.0,rf,0.9193548387096774
10.0,rf,0.9032258064516129
10.0,rf,0.9193548387096774
10.0,rf,0.8951612903225806
10.0,rf,0.9274193548387096
10.0,rf,0.9354838709677419
10.0,rf,0.9193548387096774
10.0,rf,0.9274193548387096
10.0,rf,0.9193548387096774
10.0,rf,0.9112903225806451
10.0,rf,0.9032258064516129
10.0,rf,0.8951612903225806
10.0,rf,0.9032258064516129
10.0,rf,0.9112903225806451
10.0,rf,0.9516129032258065
10.0,rf,0.9112903225806451
10.0,rf,0.9354838709677419
10.0,rf,0.9193548387096774
10.0,rf,0.8548387096774194
10.0,rf,0.9274193548387096
10.0,rf,0.9032258064516129
10.0,rf,0.8951612903225806
10.0,rf,0.9435483870967742
10.0,rf,0.8951612903225806
10.0,rf,0.9193548387096774
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.9112903225806451
10.0,rf,0.8790322580645161
10.0,rf,0.9435483870967742
10.0,rf,0.8951612903225806
10.0,rf,0.9193548387096774
10.0,rf,0.8870967741935484
10.0,rf,0.9193548387096774
10.0,rf,0.9354838709677419
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.9032258064516129
10.0,rf,0.9354838709677419
10.0,rf,0.8951612903225806
10.0,rf,0.9032258064516129
10.0,rf,0.9112903225806451
10.0,rf,0.9112903225806451
10.0,rf,0.9032258064516129
10.0,rf,0.8870967741935484
10.0,rf,0.8870967741935484
10.0,rf,0.9032258064516129
10.0,rf,0.9274193548387096
10.0,rf,0.9112903225806451
10.0,rf,0.9032258064516129
10.0,rf,0.8629032258064516
10.0,rf,0.9032258064516129
10.0,rf,0.8870967741935484
10.0,rf,0.8870967741935484
10.0,rf,0.9193548387096774
10.0,rf,0.9032258064516129
10.0,rf,0.9112903225806451
10.0,rf,0.8548387096774194
10.0,rf,0.9354838709677419
40.0,svm,0.8709677419354839
40.0,svm,0.9193548387096774
40.0,svm,0.8709677419354839
40.0,svm,0.9032258064516129
40.0,svm,0.9193548387096774
40.0,svm,0.9193548387096774
40.0,svm,0.9274193548387096
40.0,svm,0.9112903225806451
40.0,svm,0.8951612903225806
40.0,svm,0.9032258064516129
40.0,svm,0.8951612903225806
40.0,svm,0.8790322580645161
40.0,svm,0.9112903225806451
40.0,svm,0.9032258064516129
40.0,svm,0.9032258064516129
40.0,svm,0.9435483870967742
40.0,svm,0.8951612903225806
40.0,svm,0.9032258064516129
40.0,svm,0.8951612903225806
40.0,svm,0.9032258064516129
40.0,svm,0.8709677419354839
40.0,svm,0.9112903225806451
40.0,svm,0.9032258064516129
40.0,svm,0.9193548387096774
40.0,svm,0.8870967741935484
40.0,svm,0.8870967741935484
40.0,svm,0.9032258064516129
40.0,svm,0.8629032258064516
40.0,svm,0.8951612903225806
40.0,svm,0.9112903225806451
40.0,svm,0.8951612903225806
40.0,svm,0.8790322580645161
40.0,svm,0.8951612903225806
40.0,svm,0.8790322580645161
40.0,svm,0.9193548387096774
40.0,svm,0.9032258064516129
40.0,svm,0.8548387096774194
40.0,svm,0.8870967741935484
40.0,svm,0.9032258064516129
40.0,svm,0.9032258064516129
40.0,svm,0.9354838709677419
40.0,svm,0.8790322580645161
40.0,svm,0.8709677419354839
40.0,svm,0.8951612903225806
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.8870967741935484
40.0,svm,0.8548387096774194
40.0,svm,0.9032258064516129
40.0,svm,0.9032258064516129
40.0,svm,0.8709677419354839
40.0,svm,0.9032258064516129
40.0,svm,0.8951612903225806
40.0,svm,0.8951612903225806
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.8951612903225806
40.0,svm,0.8951612903225806
40.0,svm,0.9032258064516129
40.0,svm,0.8951612903225806
40.0,svm,0.8548387096774194
40.0,svm,0.9032258064516129
40.0,svm,0.8790322580645161
40.0,svm,0.8870967741935484
40.0,svm,0.9032258064516129
40.0,svm,0.8548387096774194
40.0,svm,0.8790322580645161
40.0,svm,0.8629032258064516
40.0,svm,0.9274193548387096
40.0,svm,0.9032258064516129
40.0,svm,0.8790322580645161
40.0,svm,0.9193548387096774
40.0,svm,0.8951612903225806
40.0,svm,0.8629032258064516
40.0,svm,0.8870967741935484
40.0,svm,0.8306451612903226
40.0,svm,0.8870967741935484
40.0,svm,0.8709677419354839
40.0,svm,0.8951612903225806
40.0,svm,0.8387096774193549
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.8951612903225806
40.0,svm,0.8548387096774194
40.0,svm,0.9032258064516129
40.0,svm,0.8951612903225806
40.0,svm,0.8629032258064516
40.0,svm,0.8951612903225806
40.0,svm,0.8870967741935484
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.9032258064516129
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.8629032258064516
40.0,svm,0.8870967741935484
40.0,svm,0.8951612903225806
40.0,svm,0.9354838709677419
20.0,svm,0.8709677419354839
20.0,svm,0.8790322580645161
20.0,svm,0.8951612903225806
20.0,svm,0.9193548387096774
20.0,svm,0.8709677419354839
20.0,svm,0.8870967741935484
20.0,svm,0.9032258064516129
20.0,svm,0.8709677419354839
20.0,svm,0.8467741935483871
20.0,svm,0.8629032258064516
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.8387096774193549
20.0,svm,0.8951612903225806
20.0,svm,0.8548387096774194
20.0,svm,0.8548387096774194
20.0,svm,0.8870967741935484
20.0,svm,0.8629032258064516
20.0,svm,0.9032258064516129
20.0,svm,0.8870967741935484
20.0,svm,0.8870967741935484
20.0,svm,0.8709677419354839
20.0,svm,0.8548387096774194
20.0,svm,0.9032258064516129
20.0,svm,0.8709677419354839
20.0,svm,0.8790322580645161
20.0,svm,0.8709677419354839
20.0,svm,0.8709677419354839
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.9032258064516129
20.0,svm,0.8709677419354839
20.0,svm,0.8951612903225806
20.0,svm,0.8790322580645161
20.0,svm,0.8951612903225806
20.0,svm,0.9193548387096774
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.9112903225806451
20.0,svm,0.8870967741935484
20.0,svm,0.8629032258064516
20.0,svm,0.8870967741935484
20.0,svm,0.8951612903225806
20.0,svm,0.9274193548387096
20.0,svm,0.8387096774193549
20.0,svm,0.8870967741935484
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.8951612903225806
20.0,svm,0.8629032258064516
20.0,svm,0.8629032258064516
20.0,svm,0.8709677419354839
20.0,svm,0.8629032258064516
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.8629032258064516
20.0,svm,0.8790322580645161
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.8951612903225806
20.0,svm,0.8709677419354839
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8709677419354839
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8870967741935484
20.0,svm,0.8790322580645161
20.0,svm,0.8548387096774194
20.0,svm,0.9032258064516129
20.0,svm,0.8790322580645161
20.0,svm,0.8709677419354839
20.0,svm,0.8709677419354839
20.0,svm,0.8145161290322581
20.0,svm,0.8951612903225806
20.0,svm,0.9112903225806451
20.0,svm,0.8629032258064516
20.0,svm,0.8790322580645161
20.0,svm,0.8629032258064516
20.0,svm,0.8709677419354839
20.0,svm,0.8951612903225806
20.0,svm,0.8709677419354839
20.0,svm,0.8790322580645161
20.0,svm,0.8790322580645161
20.0,svm,0.8951612903225806
20.0,svm,0.8870967741935484
20.0,svm,0.8951612903225806
10.0,svm,0.8548387096774194
10.0,svm,0.8548387096774194
10.0,svm,0.8790322580645161
10.0,svm,0.8790322580645161
10.0,svm,0.8790322580645161
10.0,svm,0.8387096774193549
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8145161290322581
10.0,svm,0.8790322580645161
10.0,svm,0.8790322580645161
10.0,svm,0.8790322580645161
10.0,svm,0.8951612903225806
10.0,svm,0.8790322580645161
10.0,svm,0.8790322580645161
10.0,svm,0.8709677419354839
10.0,svm,0.8548387096774194
10.0,svm,0.8951612903225806
10.0,svm,0.8951612903225806
10.0,svm,0.8387096774193549
10.0,svm,0.8790322580645161
10.0,svm,0.8629032258064516
10.0,svm,0.8467741935483871
10.0,svm,0.8870967741935484
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8790322580645161
10.0,svm,0.8548387096774194
10.0,svm,0.8790322580645161
10.0,svm,0.8548387096774194
10.0,svm,0.9032258064516129
10.0,svm,0.8629032258064516
10.0,svm,0.9032258064516129
10.0,svm,0.8870967741935484
10.0,svm,0.8306451612903226
10.0,svm,0.8790322580645161
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8709677419354839
10.0,svm,0.8951612903225806
10.0,svm,0.8790322580645161
10.0,svm,0.8709677419354839
10.0,svm,0.8951612903225806
10.0,svm,0.9112903225806451
10.0,svm,0.8790322580645161
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.9032258064516129
10.0,svm,0.8145161290322581
10.0,svm,0.8709677419354839
10.0,svm,0.9032258064516129
10.0,svm,0.8951612903225806
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8387096774193549
10.0,svm,0.8629032258064516
10.0,svm,0.8387096774193549
10.0,svm,0.8629032258064516
10.0,svm,0.8870967741935484
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8709677419354839
10.0,svm,0.8467741935483871
10.0,svm,0.8629032258064516
10.0,svm,0.8709677419354839
10.0,svm,0.8548387096774194
10.0,svm,0.8870967741935484
10.0,svm,0.8548387096774194
10.0,svm,0.8548387096774194
10.0,svm,0.8306451612903226
10.0,svm,0.8387096774193549
10.0,svm,0.8709677419354839
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8790322580645161
10.0,svm,0.9112903225806451
10.0,svm,0.8709677419354839
10.0,svm,0.9032258064516129
10.0,svm,0.8709677419354839
10.0,svm,0.8870967741935484
10.0,svm,0.8709677419354839
10.0,svm,0.8709677419354839
10.0,svm,0.8548387096774194
10.0,svm,0.8951612903225806
10.0,svm,0.8709677419354839
10.0,svm,0.8790322580645161
10.0,svm,0.8870967741935484
10.0,svm,0.8709677419354839
10.0,svm,0.8629032258064516
10.0,svm,0.8467741935483871
10.0,svm,0.8790322580645161
10.0,svm,0.8951612903225806
10.0,svm,0.8870967741935484
10.0,svm,0.8709677419354839
10.0,svm,0.8709677419354839
10.0,svm,0.8870967741935484
10.0,svm,0.8548387096774194
10.0,svm,0.8629032258064516
10.0,svm,0.8387096774193549
10.0,svm,0.8709677419354839
